name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Sergio Leonel Agero del Castillo	M	1988	172	74	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
Taismary "Tai" Agero Leiva (-Botteghi)	F	1977	175	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Alessandra Aguilar Morn	F	1978	165	50	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
Elisabeth "Elisa" Aguilar Lpez	F	1977	172	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Iaki Aguilar Vicente	M	1984	189	82	Spain	ESP	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA
Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA
Jessica Carolina Aguilera Aguilera	F	1985	167	57	Nicaragua	NCA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Damaris Gabriela Aguirre Aldaz	F	1977	163	75	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Heavyweight	NA
Jeinkler Ernesto Aguirre Manso	M	1990	165	57	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
Marcelo Vctor Aguirre	M	1993	174	66	Paraguay	PAR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
Robyn Mokihana Ah Mow-Santos	F	1976	172	67	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver
Juliette Chantal Ah-Wan	F	1981	155	57	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Mixed Doubles	NA
Feta Ahamada	F	1987	160	50	Comoros	COM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Younes Al-Ahamdi	M	1976	167	60	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA
Johanna Maria Helne Ahlm	F	1988	175	69	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
Abdalla Ahmed	M	1984	198	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Abdel Latif Ahmed	M	1984	202	90	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Heba Ahmed	F	1985	176	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Single Sculls	NA
Nasir Ahmed	M	1985	165	65	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Zemzem Ahmed Deko	F	1985	170	53	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 3,000 metres Steeplechase	NA
Gaby Diana Ahrens	F	1981	169	60	Namibia	NAM	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Trap	NA
Johannes Ahun	M	1988	187	76	Estonia	EST	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	NA
Mara Magdalena Aicega Amicarelli	F	1974	165	60	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
Charles Benedict "Ben" Ainslie	M	1977	183	90	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed One Person Dinghy	Gold
Tassadit Assou	F	1989	184	80	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Kamel Ait Daoud	M	1985	180	70	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	NA
Souad At Salem (-Mahour-Bacha)	F	1979	158	50	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
Kiera Leigh Aitken	F	1984	167	55	Bermuda	BER	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA
Marina Aleksandrovna Aitova (Korzhova-)	F	1983	177	58	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA
Artur Surenovych Aivazian	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Rifle, 10 metres	NA
Artur Surenovych Aivazian	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Three Positions, 50 metres	NA
Artur Surenovych Aivazian	M	1973	177	88	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	Gold
Ebenezer Oluwafemi "Femi" Ajilore	M	1985	185	75	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
Kouadio Vincent Aka-Akesse	M	1976	180	96	France	FRA	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Heavyweight, Freestyle	NA
Yukiko Akaba	F	1980	158	43	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	NA
Yukiko Akaba	F	1980	158	43	Japan	JPN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA
Salman Akbar	M	1982	180	85	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Waqar Akbar	M	1989	172	58	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Patsy Serafina Akeli	F	1979	175	89	Samoa	SAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
