name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Gil Simkovitch	M	1982	178	73	Israel	ISR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Three Positions, 50 metres	NA
Gil Simkovitch	M	1982	178	73	Israel	ISR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	NA
Elizabeth Clare "Lizzie" Simmonds	F	1991	171	60	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA
Elizabeth Clare "Lizzie" Simmonds	F	1991	171	60	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Backstroke	NA
Joan Christel Simms	F	1991	170	68	Philippines	PHI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Joan Christel Simms	F	1991	170	68	Philippines	PHI	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Freestyle	NA
Diederik Rudolf Simon	M	1970	190	90	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	NA
Gilles Simon	M	1985	183	69	France	FRA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
Gilles Simon	M	1985	183	69	France-1	FRA	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
Lidia Elena imon (Slvueanu-)	F	1974	160	43	Romania	ROU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
Matthew Blake "Matt" Simon	M	1986	188	78	Australia	AUS	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Rosana Simn Alamo	F	1989	180	68	Spain	ESP	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	NA
Simone Gomes Jatob	F	1981	172	66	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
Marialaura Simonetto	F	1988	166	53	Italy	ITA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Freestyle	NA
Marialaura Simonetto	F	1988	166	53	Italy	ITA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	NA
Andrew James Simpson	M	1977	185	104	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Keelboat	Gold
Jemma Louise Simpson	F	1984	168	56	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 800 metres	NA
Sam Simpson	M	1984	167	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Individual All-Around	NA
Sam Simpson	M	1984	167	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Floor Exercise	NA
Sam Simpson	M	1984	167	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Parallel Bars	NA
Sam Simpson	M	1984	167	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Horizontal Bar	NA
Sam Simpson	M	1984	167	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Rings	NA
Sam Simpson	M	1984	167	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Pommelled Horse	NA
Sherone Anmarica Simpson	F	1985	163	59	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	Silver
Sherone Anmarica Simpson	F	1985	163	59	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
Sherone Anmarica Simpson	F	1985	163	59	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 100 metres Relay	NA
William "Will" Simpson	M	1959	173	77	United States	USA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
William "Will" Simpson	M	1959	173	77	United States	USA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	Gold
Sin Jeong-Ja	F	1981	184	78	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Sin Su-Ji	F	1991	162	38	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	NA
Sin Su-Jong	M	1988	186	71	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Sin Yeong-Eun	F	1988	178	68	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Single Sculls	NA
Christine Margaret Sinclair	F	1983	176	75	Canada	CAN	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
Kenia Marsha Sinclair	F	1980	170	58	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 800 metres	NA
Jasvir Singh	M	1977	160	62	Canada	CAN	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Featherweight	NA
Mangal Singh Champia	M	1984	167	82	India	IND	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Individual	NA
Manjit Singh	M	1989	180	68	India	IND	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	NA
Mansher Singh	M	1966	173	76	India	IND	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
Sukhwinder Singh	M	1979	178	70	Canada	CAN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Surendra Kumar Singh	M	1979	162	54	India	IND	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA
Vijender Kumar Singh	M	1986	182	75	India	IND	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Middleweight	Bronze
Bindi Singh Kullar	M	1976	180	80	Canada	CAN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Manavjit Singh Sandhu	M	1977	192	90	India	IND	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
Sushmitha Singha Roy	F	1984	175	66	India	IND	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Heptathlon	NA
Aminata Sininta	F	1986	185	nan	Mali	MLI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Nataliya Siniin	F	1985	160	58	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Lightweight, Freestyle	NA
Yuliya Nikolayevna Sinyak-Alipova	F	1978	167	54	Russia	RUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Sporting Pistol, 25 metres	NA
Artur Sidmiak	M	1976	192	90	Poland	POL	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	NA
Adam Carter Sioui	M	1982	196	88	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	NA
Adam Carter Sioui	M	1982	196	88	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	NA
Adam Carter Sioui	M	1982	196	88	Canada	CAN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA
Siow Yi Ting	F	1984	169	49	Malaysia	MAS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Breaststroke	NA
Siow Yi Ting	F	1984	169	49	Malaysia	MAS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Individual Medley	NA
Onur ipal	M	1989	170	60	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Lightweight	NA
Kvin Ren Michel Sireau	M	1987	188	90	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Sprint	NA
Kvin Ren Michel Sireau	M	1987	188	90	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	Silver
Ramnas ikauskas	M	1979	198	95	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Djnbou Sissoko	F	1979	188	nan	Mali	MLI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Damjan Sitar	M	1982	196	88	Slovenia	SLO	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA
Oleksandr Vasylovych Sitkovskiy	M	1978	184	68	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Marathon	NA
Dmitry Sivakov	M	1983	195	118	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
Marijo ivolija-Jelica	M	1981	187	81	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	NA
Konstantin Viktorovich Sivtsov	M	1983	184	70	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Jalmar Leonard Sjberg	M	1985	190	120	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Super-Heavyweight, Greco-Roman	NA
Simon Olov Sjdin	M	1987	192	85	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA
Simon Olov Sjdin	M	1987	192	85	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	NA
Kerstin Ingrid Therese Sjgran	F	1977	170	60	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
Sarah Frederica Sjstrm	F	1994	182	76	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA
Sarah Frederica Sjstrm	F	1994	182	76	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Butterfly	NA
Sarah Frederica Sjstrm	F	1994	182	76	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	NA
Afroditi Skafida	F	1982	165	63	Greece	GRE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Pole Vault	NA
Erika Espeseth Skarb	F	1987	174	73	Norway	NOR	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
Tarjei Viken Skarlund	M	1979	191	85	Norway	NOR	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
Darius karnulis	M	1978	186	68	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA
Donatas karnulis	M	1978	186	70	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA
Nika Skelin	M	1978	200	103	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Pairs	NA
Sinia Skelin	M	1974	196	92	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Pairs	NA
Nicholas David "Nick" Skelton	M	1958	175	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
Nicholas David "Nick" Skelton	M	1958	175	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
Anastasios Skhizas	M	1977	191	91	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Todd Skipworth	M	1985	182	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
Angela Robyn "Angie" Skirving-Lambert	F	1981	181	68	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
Oksana Serhivna Skliarenko	F	1981	168	49	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
Aleksandr Sklyar	M	1988	190	82	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	NA
Kamila Skolimowska	F	1983	180	112	Poland	POL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	NA
Eduard Mikhaylovich Skornyakov	M	1981	185	94	Russia	RUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed One Person Dinghy	NA
Katarzyna Skorupa	F	1985	182	69	Poland	POL	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Melanie Skotnik-Melfort	F	1983	182	59	France	FRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA
Katarzyna Ewa Skowroska (-Dolata)	F	1983	189	75	Poland	POL	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Lucie krobkova-Martincov	F	1982	170	62	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres Hurdles	NA
Yekaterina Yuryevna Skudina	F	1981	168	56	Russia	RUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
Austra Skujyt	F	1980	188	82	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Heptathlon	NA
Nikolay Valeryevich Skvortsov	M	1984	180	78	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	NA
Nikolay Valeryevich Skvortsov	M	1984	180	78	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA
Nikolay Valeryevich Skvortsov	M	1984	180	78	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	NA
Joshua "Josh" Slack	M	1977	191	88	Australia	AUS	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
Eva Sldekov	F	1982	nan	nan	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Women's Singles	NA
Daniel James Slater	M	1976	183	92	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed One Person Dinghy	NA
Yelena Vladimirovna Slesarenko (Sivushenko-)	F	1982	178	60	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA
Tom Slingsby	M	1985	186	81	Australia	AUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA
Robertus Michiel Joseph Lucas Maria Jacobus "Robert" Slippens	M	1975	174	65	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Pursuit, 4,000 metres	NA
Oksana Nikolayevna Slivenko	F	1987	164	69	Russia	RUS	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Light-Heavyweight	Silver
Bridget Elizabeth Sloan	F	1992	150	47	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
Bridget Elizabeth Sloan	F	1992	150	47	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Silver
Bridget Elizabeth Sloan	F	1992	150	47	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
Bridget Elizabeth Sloan	F	1992	150	47	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
Bridget Elizabeth Sloan	F	1992	150	47	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
Yuliya Slobodian	F	1993	175	48	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
Roman Andreyevich Sludnov	M	1980	188	74	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Roman Andreyevich Sludnov	M	1980	188	74	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	NA
Jeroen Sluijter	M	1975	180	84	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
Olga Anatolyevna Slyusareva	F	1969	168	60	Russia	RUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Points Race	NA
Albert Slimov	M	1986	170	57	Russia	RUS	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Featherweight	NA
Minke Smabers (-Smeets)	F	1979	158	49	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold
Mahaman Smaila	M	1986	178	64	Cameroon	CMR	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Welterweight	NA
Nataliya Mykolavna Smal	F	1983	170	70	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Middleweight	NA
Giannis-Giorgos-Karl (-Jiannis) Smalios	M	1987	192	86	Greece	GRE	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Javelin Throw	NA
Erinn L. Smart	F	1980	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Individual	NA
Erinn L. Smart	F	1980	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Team	Silver
Keeth Thomas Smart	M	1978	183	75	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
Keeth Thomas Smart	M	1978	183	75	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Team	Silver
Tjerk Marten Smeets	M	1980	188	108	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
Justine Smethurst	F	1987	178	77	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
Jana Smidakov Krompolcova	F	1984	175	68	Spain	ESP	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Fours, 500 metres	NA
Lenka mdov	F	1975	174	59	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Two Person Dinghy	NA
Milan Smiljani	M	1987	183	76	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Aleksey Grigoryevich Smirnov	M	1978	174	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA
Aleksey Grigoryevich Smirnov	M	1978	174	70	Russia	RUS	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	NA
Roman Petrovich Smirnov	M	1985	183	72	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	NA
Vitaly Frilyevich Smirnov	M	1979	191	94	Uzbekistan	UZB	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA
Olga Vladimirovna Smirnova	F	1979	164	55	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Lightweight, Freestyle	NA
Svetlana Alekseyevna Smirnova (Veresova-)	F	1962	163	61	Russia	RUS	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Pistol, 10 metres	NA
Sandra Smisek	F	1977	164	56	Germany	GER	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Bronze
Alexander Roelof "Alex" Smit	M	1986	192	98	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
Julia Elizabeth Smit	F	1988	183	66	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	Silver
Julia Elizabeth Smit	F	1988	183	66	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	Bronze
Marjan Smit	F	1976	173	59	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
Miloushka Yasemin Smit	F	1985	178	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Gold
Andrew Smith	M	1979	191	89	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze
Andrew Michael Smith	M	1984	180	72	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Singles	NA
Austin Smith	M	1985	179	73	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Christian Smith	M	1984	188	75	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	NA
Colin Smith	M	1984	185	84	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Silver
David "Dave" Smith	M	1987	183	85	Australia	AUS	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	NA
Emile Smith	M	1978	175	80	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Jesse Aaron Smith	M	1983	194	105	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Silver
Katherine May "Katie" Smith	F	1974	180	79	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Gold
Kimberly Frances "Kim" Smith (-Tarpy)	F	1982	166	49	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA
Leigh Smith	M	1982	198	102	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Javelin Throw	NA
Loree Smith	F	1983	168	85	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	NA
Louis Antoine Smith	M	1989	184	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Individual All-Around	NA
Louis Antoine Smith	M	1989	184	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Floor Exercise	NA
Louis Antoine Smith	M	1989	184	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Parallel Bars	NA
Louis Antoine Smith	M	1989	184	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Horizontal Bar	NA
Louis Antoine Smith	M	1989	184	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Rings	NA
Louis Antoine Smith	M	1989	184	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Pommelled Horse	Bronze
Maurice Leon Hugh Smith	M	1981	190	90	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA
Pieter Smith	M	1987	192	75	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	NA
Rebecca Katie Smith	F	1981	174	64	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	NA
Ross James Smith	M	1985	194	80	Australia	AUS	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Doubles	NA
Rutger Smith	M	1981	197	129	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	NA
Rutger Smith	M	1981	197	129	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
Tate Smith	M	1982	187	92	Australia	AUS	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	NA
Trecia-Kaye Smith	F	1976	185	76	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Triple Jump	NA
Tyrone Mark Eugene Smith	M	1985	183	74	Bermuda	BER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Long Jump	NA
Keli Smith-Puzo	F	1979	165	66	United States	USA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
Mile Smodlaka	M	1976	198	115	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Denisa Smolenov	F	1989	182	69	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Butterfly	NA
Mariya Viktorovna Smolyachkova	F	1985	177	76	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	NA
Gatis Smukulis	M	1987	188	78	Latvia	LAT	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Marlies Jeannette Fransisca "Marlies" Smulders	F	1982	184	78	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	Silver
Yelena Yuryevna Smurova	F	1974	166	60	Russia	RUS	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	NA
Kate Smyth (Harris-)	F	1973	165	50	Australia	AUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA
Belinda Rose Snell	F	1981	180	80	Australia	AUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Silver
Yevheniya Valerivna Snihur	F	1984	171	61	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres Hurdles	NA
Ivo Maurits Snijders	M	1981	189	75	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	NA
Ingvild Nicoline Nerdrum Snildal	F	1989	178	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Butterfly	NA
Ingvild Nicoline Nerdrum Snildal	F	1989	178	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Butterfly	NA
Evander Ronny Sno	M	1987	188	90	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Gril Snorroeggen	F	1985	177	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold
Tiffany Snow	F	1982	168	70	United States	USA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
Emma Laura Snowsill (-Frodeno)	F	1981	161	48	Australia	AUS	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	Gold
Rebecca Nicole "Beki" Snyder	F	1976	157	77	United States	USA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Pistol, 10 metres	NA
Rebecca Nicole "Beki" Snyder	F	1976	157	77	United States	USA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Sporting Pistol, 25 metres	NA
Glenn Andrew Mark Snyders	M	1987	178	83	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Glenn Andrew Mark Snyders	M	1987	178	83	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Glenn Andrew Mark Snyders	M	1987	178	83	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	NA
Yekaterina Andreyevna Snytina	F	1986	188	78	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
So Sau Wah	M	1986	180	74	Hong Kong	HKG	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	NA
