id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
59505	Aslanbek Vitalyevich Khushtov	M	1980	180	96	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Heavyweight, Greco-Roman	Gold
59569	Jason Frederick Kidd	M	1973	193	96	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Gold
59576	Markis Kido	M	1985	165	62	Indonesia-1	INA	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Doubles	Gold
59846	Kim Dong-Ju	M	1976	180	98	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
59894	Kim Gwang-Hyeon	M	1988	187	83	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
59983	Kim Hyeon-Su	M	1988	188	95	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
60145	Kim Min-Jae	M	1973	181	82	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
60610	Asbel Kipruto Kiprop	M	1989	190	63	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	Gold
60623	Brimin Kiprop (Firmin-) Kipruto	M	1985	175	55	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	Gold
60730	Martin Kirketerp Ibsen	M	1982	188	80	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Skiff	Gold
60793	Gbor Kis	M	1983	194	115	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
60844	Gergely "Gerg" Kiss	M	1978	198	112	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Gold
60893	Kosuke Kitajima	M	1983	178	73	Japan	JPN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	Gold
60893	Kosuke Kitajima	M	1983	178	73	Japan	JPN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	Gold
61107	Benjamin Philip Kleibrink	M	1985	174	65	Germany	GER	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Foil, Individual	Gold
61132	Noeki Klein	F	1983	179	80	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Gold
61256	Ingrid Klimke (-Busacker)	F	1968	172	58	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	Gold
62144	Marek Antoni Kolbowicz	M	1971	185	91	Poland	POL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Gold
62639	Simone Margareta Koot	F	1981	173	65	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Gold
62810	Oliver Korn	M	1984	181	76	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Gold
62850	Adam Marek Korol	M	1975	193	92	Poland	POL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Gold
63091	David Kosteleck	M	1975	190	93	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	Gold
63400	Katalin Kovcs	F	1976	173	64	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	Gold
63609	Primo Kozmus	M	1980	188	112	Slovenia	SLO	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Hammer Throw	Gold
