id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
21462	Oksana Aleksandrovna Chusovitina	F	1975	153	43	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Horse Vault	Silver
21990	Kerron Stephon Clement	M	1986	188	86	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres Hurdles	Silver
22175	Karen Cockburn (-Turgeon)	F	1981	161	55	Canada	CAN	2008 Summer	2008	Summer	Beijing	Trampolining	Trampolining Women's Individual	Silver
22322	Briony Christine "Bree" Cole	F	1983	160	50	Australia	AUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Synchronized Platform	Silver
22646	Malcolm "Mac" Cone	M	1953	188	82	Canada	CAN	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	Silver
23150	Raquel Corral Aznar	F	1981	175	65	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
23167	Emilio Correa Bayeaux	M	1986	180	75	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Middleweight	Silver
23210	Francisco "Quico" Corts Juncosa	M	1983	181	80	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
23426	Natalie Anne Coughlin (-Hall)	F	1983	173	63	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	Silver
23426	Natalie Anne Coughlin (-Hall)	F	1983	173	63	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Silver
23549	Kirsty Leigh Coventry (-Seward)	F	1984	176	64	Zimbabwe	ZIM	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	Silver
23549	Kirsty Leigh Coventry (-Seward)	F	1984	176	64	Zimbabwe	ZIM	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Individual Medley	Silver
23549	Kirsty Leigh Coventry (-Seward)	F	1984	176	64	Zimbabwe	ZIM	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Individual Medley	Silver
23592	Rohanee Cox	F	1981	182	83	Australia	AUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Silver
23657	Kameryn Louise "Kami" Craig	F	1987	181	88	United States	USA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Women's Water Polo	Silver
23723	Shawn Crawford	M	1978	181	86	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 200 metres	Silver
23834	Cristiane Rozeira de Souza Silva	F	1985	176	69	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
23936	Emily Ruth Cross	F	1987	165	57	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Team	Silver
24093	Lszl Cseh, Jr.	M	1986	188	83	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	Silver
24093	Lszl Cseh, Jr.	M	1986	188	83	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Individual Medley	Silver
24093	Lszl Cseh, Jr.	M	1986	188	83	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 400 metres Individual Medley	Silver
24611	Francesco D'Aniello	M	1969	170	80	Italy	ITA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Double Trap	Silver
24754	Vencelas Dabaya Tientcheu	M	1981	167	69	France	FRA	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	Silver
25208	Daniela Alves Lima	F	1984	171	66	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
25307	Dante Guimares Santos do Amaral	M	1981	201	86	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Silver
25351	Benjamin Ren Pierre Darbelet	M	1981	170	60	France	FRA	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Half-Lightweight	Silver
25615	David "Dave" Davies	M	1985	190	84	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 10 kilometres Open Water	Silver
25716	Nicole Marie Davis	F	1982	167	66	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver
25815	Michael "Mike" Day	M	1985	191	93	United States	USA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's BMX	Silver
26159	Annemiek Nicolien de Haan	F	1981	187	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	Silver
26938	Lucie Dcosse	F	1981	168	70	France	FRA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	Silver
26983	Gervasio Deferr ngel	M	1981	166	69	Spain	ESP	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Floor Exercise	Silver
27078	Femke Pauline Dekker	F	1979	186	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	Silver
27181	Ashley Jason "Ash" Delaney	M	1986	185	82	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	Silver
27830	Alfredo Despaigne Rodrguez	M	1986	177	80	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
27839	Alexandre Despatie	M	1985	173	76	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Springboard	Silver
27978	Vadim Anatolyevich Devyatovsky	M	1977	192	115	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Hammer Throw	Silver
28056	Ilario Di Bu	M	1966	175	90	Italy	ITA	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Team	Silver
28862	Khdafi Djelkhir	M	1984	164	57	France	FRA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Featherweight	Silver
28911	Yelena Viktorovna Dmitriyeva	F	1983	175	66	Russia	RUS	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Silver
29663	Natasa Douchev-Janics	F	1982	174	68	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Fours, 500 metres	Silver
30781	Andrea Duran	F	1984	168	60	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
30940	Giorvis Duvergel Rojas	M	1980	175	75	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
31400	Ross Samuel Edgar	M	1983	168	72	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Keirin	Silver
31545	Kenneth "Kenny" Egan	M	1982	187	81	Ireland	IRL	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Light-Heavyweight	Silver
31599	Richard Phillip "Ric" Egington	M	1979	198	104	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Silver
31868	Emmanuel Ekpo	M	1988	181	75	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Silver
32517	Matthew D. "Matt" Emmons	M	1981	175	84	United States	USA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	Silver
32577	Tnu Endrekson	M	1979	198	104	Estonia	EST	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Double Sculls	Silver
32675	Mirko Englich	M	1979	184	96	Germany	GER	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Heavyweight, Greco-Roman	Silver
32723	Sergi Enrique Montserrat	M	1988	174	69	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
32729	Michel Enrquez Tamayo	M	1979	175	80	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
32920	rika Cristiano dos Santos	F	1988	172	55	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
33095	Srgio "Escadinha" Dutra dos Santos	M	1976	184	78	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Silver
33293	Ester Aperecida dos Santos	F	1983	164	56	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
33637	Fabiana da Silva Simes	F	1989	161	56	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
33646	Fbio Luiz de Jesus Magalhes	M	1979	204	101	Brazil-1	BRA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	Silver
33659	Alexandre "Alex" Fbregas Carne	M	1981	184	83	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
33663	Francisco "Kiko" Fbregas Monegal	M	1978	182	78	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
34416	Vasyl Petrovych Fedoryshyn	M	1981	169	60	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Freestyle	Silver
34551	Allyson Michelle Felix	F	1986	168	56	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	Silver
34570	Heather Rame Fell	F	1983	169	62	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	Silver
34619	Feng Tian Wei	F	1987	163	55	Singapore	SGP	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Team	Silver
34771	Vanessa de Sousa Fernandes	F	1986	169	55	Portugal	POR	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	Silver
34839	Juan Fernndez la Villa	M	1985	174	73	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
34876	Rodolfo "Rudy" Fernndez Farrs	M	1985	196	84	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Silver
34887	Xabier Fernndez Gaztaaga	M	1977	181	81	Spain	ESP	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Skiff	Silver
35336	Alessia Filippi	F	1987	186	63	Italy	ITA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 800 metres Freestyle	Silver
35390	Jennie Lynn Finch (-Daigle)	F	1981	185	77	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
35480	Tatyana Pavlovna Firova	F	1983	174	59	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	Silver
35721	Shalane Flanagan (-Edwards)	F	1981	166	47	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	Silver
35870	Deborah Kirsty "Debbie" Flood	F	1980	177	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Quadruple Sculls	Silver
35890	David Florence	M	1983	188	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	Silver
35957	Tairia Flowers	F	1981	170	73	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
36004	Zoltn Fodor	M	1985	180	84	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	Silver
36289	Miraildes "Formiga" Maciel Mota	F	1978	162	53	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
36506	Hyleas Christine Fountain	F	1981	170	64	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Heptathlon	Silver
36651	Francielle Manoel Alberto	F	1990	161	61	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
36730	Scott Frandsen	M	1980	188	86	Canada	CAN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxless Pairs	Silver
36931	Clayton Fredericks	M	1968	185	87	Australia	AUS	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	Silver
36935	Lucinda Fredericks (Murray-)	F	1966	180	62	Australia	AUS	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	Silver
37065	Santiago "Santi" Freixa Escude	M	1983	181	85	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
37394	Fu Baorong	F	1978	166	57	China	CHN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Silver
37396	Fu Haifeng	M	1984	181	78	China-1	CHN	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Doubles	Silver
37440	Andrea Fuentes Fache	F	1983	169	58	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	Silver
37440	Andrea Fuentes Fache	F	1983	169	58	Spain	ESP	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Silver
38045	Marco Galiazzo	M	1983	178	98	Italy	ITA	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Team	Silver
38072	Victoria "Vicky" Galindo	F	1984	163	59	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
