id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
126284	Anne-Laure Viard	F	1981	174	68	France	FRA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Doubles, 500 metres	Bronze
127017	Nataliya Aleksandrovna Vodopyanova	F	1981	188	78	Russia	RUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Bronze
127183	Aleksandr Aleksandrovich Volkov	M	1985	210	90	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Bronze
127202	Yekaterina Gennadyevna Volkova (-Mastrova)	F	1978	166	56	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 3,000 metres Steeplechase	Bronze
127239	Bryan Daniel Volpenhein	M	1977	191	102	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Bronze
127483	Oleksandr Serhiyovych Vorobiov	M	1985	158	55	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Rings	Bronze
127689	Vladimir "Vlada" Vujasinovi	M	1974	187	98	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	Bronze
127711	Paola Vukojicic	F	1975	164	58	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze
127738	Arkady Arkadyevich Vyachanin	M	1984	202	91	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Backstroke	Bronze
127738	Arkady Arkadyevich Vyachanin	M	1984	202	91	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Backstroke	Bronze
127923	Katrin Wagner-Augustin	F	1978	179	70	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, 500 metres	Bronze
128165	Kenneth Maxwell "Ken" Wallace	M	1983	190	90	Australia	AUS	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	Bronze
128267	Daniel Walsh	M	1979	201	100	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Bronze
128520	Wang Liqin	M	1978	192	85	China	CHN	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	Bronze
128536	Wang Na	F	1984	172	58	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
128605	Wang Xin (Ruoxue-)	F	1993	137	28	China	CHN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	Bronze
128628	Wang Yimei	F	1988	190	90	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
128705	Rebecca Claire "Becca" Ward	F	1990	170	61	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Individual	Bronze
128705	Rebecca Claire "Becca" Ward	F	1990	170	61	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Team	Bronze
128725	Natalie Anne Ward	F	1976	168	64	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
129069	Casey McGhee Weathers	M	1985	185	99	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
129294	Wei Qiuyue	F	1989	182	65	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
129296	Wei Yili	F	1982	175	68	China-2	CHN	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Women's Doubles	Bronze
129538	Matthew Wayne "Matt" Wells	M	1978	184	77	Australia	AUS	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Bronze
129540	Matthew Ward "Matt" Wells	M	1980	190	93	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Double Sculls	Bronze
129933	Adam Wheeler	M	1981	191	96	United States	USA	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Heavyweight, Greco-Roman	Bronze
130113	Rosemarie Whyte	F	1987	174	65	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	Bronze
130297	Agnieszka Jadwiga Wieszczek-Kordus	F	1983	175	69	Poland	POL	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Heavyweight, Freestyle	Bronze
130410	Deontay Leshun Wilder	M	1986	201	91	United States	USA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Heavyweight	Bronze
130466	Bobby-Gaye Wilkins (-Gooden)	F	1989	nan	nan	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	Bronze
130512	Elisabeth Willeboordse	F	1979	169	63	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	Bronze
130671	Shericka Nicola Williams	F	1986	170	64	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	Bronze
130707	Novlene Hilaire Williams-Mills	F	1982	168	57	Jamaica	JAM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	Bronze
131403	Won Ok-Im	F	1987	162	66	North Korea	PRK	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	Bronze
131685	Belinda Wright (-Barnes)	F	1981	170	63	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
131805	Wu Minxia	F	1986	167	52	China	CHN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	Bronze
131920	Kerry Anne Wyborn (-Newsome)	F	1978	168	63	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
131936	Tomasz Wylenzek	M	1983	183	92	Germany	GER	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	Bronze
