id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal	age
980	Rebecca "Becky" Adlington	F	1989	179	70	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 800 metres Freestyle	Gold	19
1017	Nathan Ghar-Jun Adrian	M	1989	198	100	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold	19
1022	Sharnol Leonard Adriana	M	1971	185	95	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA	37
1023	Adriana "Adrianinha" Moiss Pinto	F	1979	170	65	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA	29
1024	Elisngela Maria Adriano	F	1972	180	96	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	NA	36
1028	Fredua Koranteng "Freddy" Adu	M	1989	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA	19
1032	Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Freestyle	NA	24
1032	Serhiy Mykolaiovych Advena	M	1984	190	82	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Butterfly	NA	24
1036	Olga Olegovna Adzhigerskaya	F	1982	192	65	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA	26
1039	Silulu A'etonu (-Grey)	F	1984	170	59	American Samoa	ASA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Middleweight	NA	24
1056	Mario Aerts	M	1975	182	68	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA	33
1067	Hamed Afagh Eslamieh	M	1983	188	82	Iran	IRI	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA	25
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA	16
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA	16
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA	16
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA	16
1071	Kseniya Dmitriyevna Afanasyeva	F	1992	158	48	Russia	RUS	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA	16
1097	Georgios Afroudakis	M	1977	194	103	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA	31
1098	Khristos Afroudakis	M	1984	188	88	Greece	GRE	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA	24
1114	Luca Agamennoni	M	1981	187	93	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	Silver	27
1149	Neha Aggarwal	F	1990	170	67	India	IND	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA	18
1164	Naroa Agirre Kamio	F	1979	177	63	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Pole Vault	NA	29
1169	Marilyn Agliotti	F	1979	172	58	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Gold	29
1190	Simon Agoston	M	1977	179	64	Austria	AUT	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA	31
